模型名称,输入 token,输出 token,最大并发,平均时延 (s),最大时延 (s),吞吐 (r/s),kv cache usage (%)
llama3.1-8b,3500,490 - 500,4,1.2136929035186768,1.2136929035186768,3.2957266112402928,94
llama3.1-8b,3500,490 - 500,4,1.210111141204834,1.210111141204834,3.3054815081013498,94
llama3.1-8b,3500,490 - 500,4,1.290081262588501,1.290081262588501,3.1005798750802303,93
llama3.1-8b,3500,490 - 500,4,1.2292039394378662,1.2292039394378662,3.254138610903949,94
llama3.1-8b,3500,490 - 500,4,1.2107679843902588,1.2107679843902588,3.3036882801409675,94
llama3.1-8b,3500,490 - 500,4,1.2126145362854004,1.2126145362854004,3.2986574713619974,93
llama3.1-8b,3500,490 - 500,4,1.248744010925293,1.248744010925293,3.203218566018254,93
llama3.1-8b,3500,490 - 500,4,1.246805191040039,1.246805191040039,3.2081996680358276,93
llama3.1-8b,3500,490 - 500,4,1.2103736400604248,1.2103736400604248,3.304764634332511,94
llama3.1-8b,3500,490 - 500,4,1.2385237216949463,1.2385237216949463,3.2296515035867976,93
llama3.1-8b,3500,490 - 500,4,1.2100303173065186,1.2100303173065186,3.3057022975290797,93
llama3.1-8b,3500,490 - 500,4,1.219738483428955,1.219738483428955,3.2793914878828074,93
llama3.1-8b,3500,490 - 500,4,1.2176117897033691,1.2176117897033691,3.285119307997558,92
llama3.1-8b,3500,490 - 500,4,1.239255666732788,1.239255666732788,3.2277439654931928,92
llama3.1-8b,3500,490 - 500,4,1.2102017402648926,1.2102017402648926,3.305234050584383,93
llama3.1-8b,3500,490 - 500,4,1.2087500095367432,1.2087500095367432,3.309203696745377,93
llama3.1-8b,3500,490 - 500,4,1.2077970504760742,1.2077970504760742,3.311814678155846,93
llama3.1-8b,3500,490 - 500,4,1.210475206375122,1.210475206375122,3.3044873442541323,94
llama3.1-8b,3500,490 - 500,4,1.2379302978515625,1.2379302978515625,3.2311996943139936,93
llama3.1-8b,3500,490 - 500,4,1.2071268558502197,1.2071268558502197,3.313653391616962,94
llama3.1-8b,3500,490 - 500,4,1.2079508304595947,1.2079508304595947,3.3113930626448607,94
llama3.1-8b,3500,490 - 500,4,1.2080655097961426,1.2080655097961426,3.3110787184670043,93
llama3.1-8b,3500,490 - 500,4,1.208362102508545,1.208362102508545,3.310266013553428,94
llama3.1-8b,3500,490 - 500,4,1.2085120677947998,1.2085120677947998,3.3098552398395933,94
llama3.1-8b,3500,490 - 500,4,1.2086820602416992,1.2086820602416992,3.30938973248277,93
llama3.1-8b,3500,490 - 500,4,1.210207223892212,1.210207223892212,3.305219074081699,93
llama3.1-8b,3500,490 - 500,4,1.2503623962402344,1.2503623962402344,3.199072534513004,93
llama3.1-8b,3500,490 - 500,4,1.2208447456359863,1.2208447456359863,3.2764198840993837,93
llama3.1-8b,3500,490 - 500,4,1.2557458877563477,1.2557458877563477,3.1853578331415724,93
